entity_name,real_name,nationality,team,player_status,social_links
brynn,Brynn Crompton Corbet,United Kingdom,Invictus Gaming International,Active,https://www.twitch.tv/brynn_rw;https://twitter.com/brynn_rw;None;http://www.youtube.com/channel/UCS0gU3_m2X1GrvA4DiGjVrQ;Http://play.eslgaming.com/player/13831477
BulletL,Louis Borg,Australia,Sutoraiku,Active,https://www.twitch.tv/bulletll;https://twitter.com/BulletL_;None;http://www.youtube.com/bulletl;None
BunnyH0p,Noel Chuat,Malaysia,Perangai Gaming,Active,https://www.twitch.tv/bunnyh0p_;https://twitter.com/BunnyH0pMY;http://facebook.com/Bunnyh0pGaming;http://www.youtube.com/c/bunnyh0p;None
Buttzyy,Luke Butler,United Kingdom,,Retired,https://www.twitch.tv/buttzyy;https://twitter.com/Buttzyy;None;None;None
Cabbagest,Yosuke Tamura,Japan,Meteor,Active,https://www.twitch.tv/cabbagest;https://twitter.com/Cabbagest_;None;http://www.youtube.com/c/cabbagest;None
CacaLL,Zongren Liu,China,Golden Sage,Active,None;https://twitter.com/CacallDf;None;None;None
Caffezin,Vinícius Bergling Coffoni,Brazil,Elevate,Active,https://www.twitch.tv/caffezin;https://twitter.com/TTvCaffezin;http://facebook.com/Caffeziin;http://www.youtube.com/channel/UC3i7jXclW7g7qFC51KI_k3w;None
Cali,Gage Meyer,United States,,Retired,https://www.twitch.tv/cali;https://twitter.com/caliFPS;None;http://www.youtube.com/c/CaliFPS;None
Campar,Cameron Patterson,Australia,,Retired,https://www.twitch.tv/thatcampar;https://twitter.com/TCampar;None;http://www.youtube.com/channel/UCYhaWDNyhXYM-Gtw4_q8PKQ/featured;None
Capi,Ignacio Del Rio,Argentina,,Retired,https://www.twitch.tv/CapiOw;https://twitter.com/C4piOw;http://facebook.com/CapiOw;None;Http://play.eslgaming.com/player/10087681
CaRazorARG,Octavio Sanchez,Argentina,,Active,https://www.twitch.tv/xfirazor;https://twitter.com/RazorArg;None;None;None
CarryRubick,Vitali Pajvin,Russia,Redragon,Active,https://www.twitch.tv/carryrubick;https://twitter.com/RubickCarry;None;None;None
Casper,Brenden Marino,United States,,Retired,https://www.twitch.tv/casper;https://twitter.com/Liquid_Casper;None;None;Http://play.eslgaming.com/player/14058999
Caspere,Casper Elvelid,Sweden,,Active,https://www.twitch.tv/caspereow;https://twitter.com/casperelvelid;http://facebook.com/CaspereOW;None;Http://play.eslgaming.com/player/13952196
Cathryan,Gökhan Saral,Turkey,Fenerbahçe Esports,Active,https://www.twitch.tv/cathryan;https://twitter.com/Cathryan_;None;None;None
Ceryal,Andrew Vargas,United States,,Active,https://www.twitch.tv/ceryal;https://twitter.com/ceryal_;None;http://www.youtube.com/c/ceryal;None
Ch1no,,Japan,,Active,https://www.twitch.tv/xch1no_;https://twitter.com/xCh1no_;None;http://www.youtube.com/channel/UCuhOUm8RVkeLzBtW7x8Z88A;None
Chambers,Sinchai Sotsiao,Thailand,,Active,https://www.twitch.tv/JackChambers;https://twitter.com/exo_chambers;http://facebook.com/sinchai.jack;None;None
Chambie,Brandon-Lee Ellis,South Africa,NIBBLE Esports,Active,https://www.twitch.tv/chambieza;https://twitter.com/chambiezaa;None;http://www.youtube.com/channel/UCf9huFOR1QTsEf6ZAD3ogcw;None
ChanceL,Chance Lippie,United States,,Active,https://www.twitch.tv/ChanceL;https://twitter.com/_ChanceGaming;None;None;None
ChaNRiyo,,Japan,Team UNITE,Active,None;https://twitter.com/ch_coach_;None;http://www.youtube.com/channel/UCe1lBtYQ7xorJJprNUdLJ6A;None
Chappie,Justin Andrews,United States,Cloud9,Retired,https://www.twitch.tv/chappie;https://twitter.com/iam_chappie;None;None;None
cheaterboi,Tyler Coetser,South Africa,DNMK Esports,Active,https://www.twitch.tv/cheaterboiApex;https://twitter.com/Tyler_coetser;None;None;None
Cheeky,,Japan,SBI e-Sports,Active,https://www.twitch.tv/tttcheekyttt;https://twitter.com/tttcheekyttt;None;http://www.youtube.com/channel/UCQOsS5I8mof9H33QH4j49nA;None
chentric,Ricardo Miranda,Portugal,,Retired,https://www.twitch.tv/bychentric;https://twitter.com/Chentric;None;http://www.youtube.com/channel/UC-Pk1Qaka_fsd-y6Uif20tQ?view_as=subscriber;None
Chikencio,Oscar Salvador Ojeda,Spain,,Retired,https://www.twitch.tv/chikencio;https://twitter.com/Chikencio;None;None;None
chipzy,Hogne Kjærstad Krogsæther,Norway,,Retired,https://www.twitch.tv/chipzy;https://twitter.com/chipzy;None;None;Http://play.eslgaming.com/player/6236256
chocoTaco,Jacob Throop,United States,Team SoloMid,Retired,https://www.twitch.tv/chocoTaco;https://twitter.com/chocotaco;http://facebook.com/chocotacogames;http://www.youtube.com/channel/UCSri6c58uWro3kLTlcuFlVA;None
Choppadown,John Culianos,United States,,Retired,https://www.twitch.tv/Choppadown;https://twitter.com/Choppadown;None;http://www.youtube.com/c/Choppadownn;None
ChouChuu,,Taiwan,,Retired,https://www.twitch.tv/chouchuu;None;None;None;None
